Metric,2010,2021,2022,2023,Units
Scope 1 Direct Emissions,"106,870","57,076","66,775","68,050",Metric tons CO2e
Total Scope 1 and Location-Based Scope 2 Emissions,"1,785,417","658,982","701,285","678,063",Metric tons CO2e
Reduction in Total Scope 1 and Location-Based Scope 2 Emissions,Not applicable,63%,61%,62%,Metric tons CO2e
Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Metric tons CO2e
Scope 1 Direct Emissions,"106,870","57,076","66,775","68,050",Metric tons CO2e
Total Gross Scope 1 and Market-Based Scope 2 Emissions,"1,750,939","70,963","84,569","85,786",Metric tons CO2e
Total Net Scope 1 and Market-Based Scope 2 Emissions,"1,750,939",0,0,0,Metric tons CO2e
Reduction in Total Net Scope 1 and Market-Based Scope 2 Emissions,Not applicable,100%,100%,100%,Metric tons CO2e
Total Scope 1 and Location-Based Scope 2 Emissions,"1,785,417","658,982","701,285","678,063",Metric tons CO2e
Reduction in Total Scope 1 and Location-Based Scope 2 Emissions,Not applicable,63%,61%,62%,Metric tons CO2e
Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Metric tons CO2e
Total Gross Scope 1 and Market-Based Scope 2 Emissions,"1,750,939","70,963","84,569","85,786",Metric tons CO2e
Total Net Scope 1 and Market-Based Scope 2 Emissions,"1,750,939",0,0,0,Metric tons CO2e
Reduction in Total Net Scope 1 and Market-Based Scope 2 Emissions,Not applicable,100%,100%,100%,Metric tons CO2e
Total Scope 1 and Location-Based Scope 2 Emissions,"1,785,417","658,982","701,285","678,063",Metric tons CO2e
Reduction in Total Scope 1 and Location-Based Scope 2 Emissions,Not applicable,63%,61%,62%,Metric tons CO2e
Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Metric tons CO2e
Total Gross Scope 1 and Market-Based Scope 2 Emissions,"1,750,939","70,963","84,569","85,786",Metric tons CO2e
Total Net Scope 1 and Market-Based Scope 2 Emissions,"1,750,939",0,0,0,Metric tons CO2e
Reduction in Total Net Scope 1 and Market-Based Scope 2 Emissions,Not applicable,100%,100%,100%,Metric tons CO2e
Location-Based Scope 2 Indirect Emissions,"1,678,547","601,906","634,510","610,013",Metric tons CO2e
Total Scope 1 and Location-Based Scope 2 Emissions,"1,785,417","658,982","701,285","678,063",Metric tons CO2e
Reduction in Total Scope 1 and Location-Based Scope 2 Emissions,Not applicable,63%,61%,62%,Metric tons CO2e
Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Scope 1 and Market-Based Scope 2 Emissions,Metric tons CO2e
Market-Based Scope 2 Indirect Emissions,"1,644,068","13,886","17,794","17,736",Metric tons CO2e
Total Gross Scope 1 and Market-Based Scope 2 Emissions,"1,750,939","70,963","84,569","85,786",Metric tons CO2e
Total Net Scope 1 and Market-Based Scope 2 Emissions,"1,750,939",0,0,0,Metric tons CO2e
Reduction in Total Net Scope 1 and Market-Based Scope 2 Emissions,Not applicable,100%,100%,100%,Metric tons CO2e
